in s,C1 in V
-3.0780125,-2.1855
-3.0779668,-2.160475
-3.077921,-2.133773
-3.0778752,-2.10295
-3.0778294,-2.070449
-3.0777836,-2.036116
-3.0777378,-2.001326
-3.077692,-1.966689
-3.0776463,-1.932204
-3.0776005,-1.898024
-3.0775547,-1.86415
-3.0775089,-1.831343
-3.0774631,-1.7993
-3.0774173,-1.768477
-3.0773716,-1.73857
-3.0773258,-1.708968
-3.07728,-1.679671
-3.0772342,-1.651137
-3.0771884,-1.621535
-3.0771426,-1.59178
-3.0770969,-1.558516
-3.0770511,-1.523879
-3.0770053,-1.487715
-3.0769595,-1.450026
-3.0769137,-1.410201
-3.0768679,-1.369307
-3.0768222,-1.329482
-3.0767764,-1.288741
-3.0767306,-1.248763
-3.0766848,-1.210616
-3.076639,-1.173232
-3.0765932,-1.138747
-3.0765474,-1.106246
-3.0765017,-1.074202
-3.0764559,-1.04399
-3.0764101,-1.014998
-3.0763643,-0.986922
-3.0763185,-0.9588458
-3.0762727,-0.9315326
-3.076227,-0.9042194
-3.0761812,-0.8772113
-3.0761354,-0.8511188
-3.0760896,-0.8230426
-3.0760438,-0.7954242
-3.075998,-0.767348
-3.0759523,-0.736983
-3.0759065,-0.7044818
-3.0758607,-0.6725909
-3.0758149,-0.639632
-3.0757691,-0.6046893
-3.0757233,-0.568526
-3.0756776,-0.5293109
-3.0756318,-0.4914691
-3.075586,-0.4484393
-3.0755402,-0.4061725
-3.0754944,-0.3640582
-3.0754486,-0.3184344
-3.0754028,-0.2729633
-3.0753571,-0.2273395
-3.0753113,-0.1817157
-3.0752655,-0.1360919
-3.0752197,-0.09077332
-3.0751739,-0.04408142
-3.0751281,0.001237183
-3.0750824,0.04487732
-3.0750366,0.09095886
-3.0749908,0.1384137
-3.074945,0.1843427
-3.0748992,0.2304242
-3.0748534,0.2757428
-3.0748077,0.3207562
-3.0747619,0.3648541
-3.0747161,0.4101727
-3.0746703,0.4550336
-3.0746245,0.4983685
-3.0745787,0.5404828
-3.074533,0.5839703
-3.0744872,0.6257794
-3.0744414,0.668504
-3.0743956,0.7087872
-3.0743498,0.7513593
-3.074304,0.7933209
-3.0742582,0.8334515
-3.0742125,0.8744977
-3.0741667,0.9144757
-3.0741209,0.9517072
-3.0740751,0.9886334
-3.0740293,1.025712
-3.0739835,1.059892
-3.0739378,1.093766
-3.073892,1.126878
-3.0738462,1.157396
-3.0738004,1.188371
-3.0737546,1.219346
-3.0737088,1.246965
-3.0736631,1.275499
-3.0736173,1.305101
-3.0735715,1.332872
-3.0735257,1.360338
-3.0734799,1.387651
-3.0734341,1.413743
-3.0733884,1.438768
-3.0733426,1.463182
-3.0732968,1.485612
-3.073251,1.50728
-3.0732052,1.526353
-3.0731594,1.544053
-3.0731136,1.561754
-3.0730679,1.578386
-3.0730221,1.593644
-3.0729763,1.60692
-3.0729305,1.619737
-3.0728847,1.633622
-3.0728389,1.646135
-3.0727932,1.658952
-3.0727474,1.671312
-3.0727016,1.683214
-3.0726558,1.696946
-3.07261,1.710679
-3.0725642,1.726243
-3.0725185,1.740281
-3.0724727,1.754625
-3.0724269,1.770341
-3.0723811,1.788347
-3.0723353,1.806199
-3.0722895,1.824815
-3.0722438,1.844041
-3.072198,1.864183
-3.0721522,1.885087
-3.0721064,1.904161
-3.0720606,1.922319
-3.0720148,1.940477
-3.071969,1.958177
-3.0719233,1.97191
-3.0718775,1.984117
-3.0718317,1.994951
-3.0717859,2.005174
-3.0717401,2.012803
-3.0716943,2.017991
-3.0716486,2.024553
-3.0716028,2.02791
-3.071557,2.030961
-3.0715112,2.033708
-3.0714654,2.036912
-3.0714196,2.039201
-3.0713739,2.041948
-3.0713281,2.045457
-3.0712823,2.048814
-3.0712365,2.052629
-3.0711907,2.056443
-3.0711449,2.061174
-3.0710992,2.065599
-3.0710534,2.069566
-3.0710076,2.073228
-3.0709618,2.076738
-3.070916,2.078111
-3.0708702,2.079942
-3.0708244,2.079332
-3.0707787,2.07689
-3.0707329,2.073381
-3.0706871,2.067582
-3.0706413,2.060258
-3.0705955,2.050187
-3.0705497,2.037675
-3.070504,2.02379
-3.0704582,2.006395
-3.0704124,1.987626
-3.0703666,1.966722
-3.0703208,1.942766
-3.070275,1.918962
-3.0702293,1.893327
-3.0701835,1.865556
-3.0701377,1.836717
-3.0700919,1.809099
-3.0700461,1.779344
-3.0700003,1.750047
-3.0699546,1.722886
-3.0699088,1.695268
-3.069863,1.66887
-3.0698172,1.643846
-3.0697714,1.618974
-3.0697256,1.595018
-3.0696798,1.570146
-3.0696341,1.546647
