in s,C1 in V
-3.0780125,0.1892255
-3.0779668,0.1893781
-3.077921,0.1896832
-3.0778752,0.1902936
-3.0778294,0.1907513
-3.0777836,0.1924298
-3.0777378,0.1934979
-3.077692,0.1939557
-3.0776463,0.1941083
-3.0776005,0.1942609
-3.0775547,0.1941083
-3.0775089,0.1947186
-3.0774631,0.195329
-3.0774173,0.1967023
-3.0773716,0.1965497
-3.0773258,0.1970074
-3.07728,0.1977704
-3.0772342,0.1994489
-3.0771884,0.200517
-3.0771426,0.2012799
-3.0770969,0.202348
-3.0770511,0.2025006
-3.0770053,0.2017377
-3.0769595,0.2035687
-3.0769137,0.2038739
-3.0768679,0.2047894
-3.0768222,0.2053998
-3.0767764,0.205705
-3.0767306,0.2060101
-3.0766848,0.2066205
-3.076639,0.2070782
-3.0765932,0.2070782
-3.0765474,0.2079938
-3.0765017,0.2092145
-3.0764559,0.2092145
-3.0764101,0.2099774
-3.0763643,0.21013
-3.0763185,0.2110455
-3.0762727,0.2121136
-3.076227,0.2130292
-3.0761812,0.2128766
-3.0761354,0.2131818
-3.0760896,0.2139447
-3.0760438,0.2136395
-3.075998,0.2140973
-3.0759523,0.2154706
-3.0759065,0.2156232
-3.0758607,0.2162335
-3.0758149,0.2166913
-3.0757691,0.2174542
-3.0757233,0.2177594
-3.0756776,0.2185223
-3.0756318,0.2194379
-3.075586,0.2200482
-3.0755402,0.219743
-3.0754944,0.2200482
-3.0754486,0.2195905
-3.0754028,0.2200482
-3.0753571,0.2217267
-3.0753113,0.222337
-3.0752655,0.2229474
-3.0752197,0.2240155
-3.0751739,0.2243207
-3.0751281,0.2238629
-3.0750824,0.224931
-3.0750366,0.2253888
-3.0749908,0.225694
-3.074945,0.224931
-3.0748992,0.2253888
-3.0748534,0.2261517
-3.0748077,0.2269147
-3.0747619,0.2263043
-3.0747161,0.2270673
-3.0746703,0.2273724
-3.0746245,0.2285931
-3.0745787,0.2284406
-3.074533,0.2285931
-3.0744872,0.2292035
-3.0744414,0.2299664
-3.0743956,0.2299664
-3.0743498,0.230119
-3.074304,0.2305768
-3.0742582,0.230882
-3.0742125,0.2307294
-3.0741667,0.2314923
-3.0741209,0.2324078
-3.0740751,0.2328656
-3.0740293,0.2330182
-3.0739835,0.232713
-3.0739378,0.2333234
-3.073892,0.2330182
-3.0738462,0.232713
-3.0738004,0.2331708
-3.0737546,0.2337811
-3.0737088,0.2336285
-3.0736631,0.2339337
-3.0736173,0.2336285
-3.0735715,0.2337811
-3.0735257,0.2333234
-3.0734799,0.232713
-3.0734341,0.2330182
-3.0733884,0.232713
-3.0733426,0.2330182
-3.0732968,0.2324078
-3.073251,0.2330182
-3.0732052,0.232713
-3.0731594,0.2325604
-3.0731136,0.2317975
-3.0730679,0.2317975
-3.0730221,0.2316449
-3.0729763,0.2316449
-3.0729305,0.2313397
-3.0728847,0.2314923
-3.0728389,0.2313397
-3.0727932,0.2322552
-3.0727474,0.2324078
-3.0727016,0.2316449
-3.0726558,0.2314923
-3.07261,0.2314923
-3.0725642,0.230882
-3.0725185,0.2305768
-3.0724727,0.2310345
-3.0724269,0.2302716
-3.0723811,0.2293561
-3.0723353,0.2285931
-3.0722895,0.2279828
-3.0722438,0.2272198
-3.072198,0.2269147
-3.0721522,0.2276776
-3.0721064,0.2278302
-3.0720606,0.2278302
-3.0720148,0.2276776
-3.071969,0.2270673
-3.0719233,0.2269147
-3.0718775,0.227525
-3.0718317,0.227525
-3.0717859,0.2267621
-3.0717401,0.2267621
-3.0716943,0.2266095
-3.0716486,0.2263043
-3.0716028,0.2253888
-3.071557,0.225694
-3.0715112,0.2255414
-3.0714654,0.2250836
-3.0714196,0.2253888
-3.0713739,0.2258466
-3.0713281,0.2253888
-3.0712823,0.2246259
-3.0712365,0.2244733
-3.0711907,0.2247784
-3.0711449,0.2238629
-3.0710992,0.2234052
-3.0710534,0.2227948
-3.0710076,0.2241681
-3.0709618,0.2231
-3.070916,0.2231
-3.0708702,0.2240155
-3.0708244,0.2234052
-3.0707787,0.2240155
-3.0707329,0.2247784
-3.0706871,0.2240155
-3.0706413,0.2232526
-3.0705955,0.2226422
-3.0705497,0.2227948
-3.070504,0.222337
-3.0704582,0.2221844
-3.0704124,0.2211163
-3.0703666,0.2217267
-3.0703208,0.2217267
-3.070275,0.2214215
-3.0702293,0.2208112
-3.0701835,0.2203534
-3.0701377,0.2203534
-3.0700919,0.2209637
-3.0700461,0.2202008
-3.0700003,0.2203534
-3.0699546,0.2208112
-3.0699088,0.2203534
-3.069863,0.2203534
-3.0698172,0.2202008
-3.0697714,0.2195905
-3.0697256,0.2200482
-3.0696798,0.2188275
-3.0696341,0.2189801
-3.0695883,0.2192853
-3.0695425,0.2186749
-3.0694967,0.2189801
-3.0694509,0.2186749
-3.0694051,0.2188275
-3.0693594,0.2195905
-3.0693136,0.2202008
-3.0692678,0.2186749
-3.069222,0.2191327
-3.0691762,0.2188275
-3.0691304,0.2185223
-3.0690847,0.2186749
-3.0690389,0.2176068
-3.0689931,0.2185223
-3.0689473,0.2177594
-3.0689015,0.2183698
-3.0688557,0.2186749
-3.06881,0.2180646
-3.0687642,0.2182172
-3.0687184,0.2176068
-3.0686726,0.2169965
-3.0686268,0.217149
-3.068581,0.2159283
-3.0685352,0.2157758
-3.0684895,0.215318
-3.0684437,0.2150128
-3.0683979,0.2151654
-3.0683521,0.2148602
-3.0683063,0.2145551
-3.0682605,0.2151654
-3.0682148,0.2148602
-3.068169,0.2140973
-3.0681232,0.2136395
-3.0680774,0.2133344
-3.0680316,0.212724
-3.0679858,0.2128766
-3.0679401,0.2130292
-3.0678943,0.2121136
-3.0678485,0.2110455
-3.0678027,0.2102826
-3.0677569,0.21013
-3.0677111,0.2099774
-3.0676654,0.2099774
-3.0676196,0.2096722
-3.0675738,0.2086041
-3.067528,0.2084515
-3.0674822,0.2086041
-3.0674364,0.2081464
-3.0673906,0.2064679
-3.0673449,0.2063153
-3.0672991,0.2061627
-3.0672533,0.2060101
-3.0672075,0.2044843
-3.0671617,0.204942
-3.0671159,0.2043317
-3.0670702,0.2046368
-3.0670244,0.2046368
-3.0669786,0.2034161
-3.0669328,0.202348
-3.066887,0.2015851
-3.0668412,0.2009747
-3.0667955,0.1999066
-3.0667497,0.1988385
-3.0667039,0.1986859
-3.0666581,0.1982281
-3.0666123,0.1970074
-3.0665665,0.1970074
-3.0665208,0.1959393
-3.066475,0.195329
-3.0664292,0.1944135
-3.0663834,0.1934979
-3.0663376,0.192735
-3.0662918,0.1921246
-3.066246,0.1912091
-3.0662003,0.190141
-3.0661545,0.1884625
-3.0661087,0.1873944
-3.0660629,0.1867841
-3.0660171,0.1866315
-3.0659713,0.1851056
-3.0659256,0.1837323
-3.0658798,0.1831219
-3.065834,0.1828168
-3.0657882,0.1826642
-3.0657424,0.1811383
-3.0656966,0.180528
-3.0656509,0.1803754
-3.0656051,0.1788495
-3.0655593,0.177171
-3.0655135,0.1767133
-3.0654677,0.1756451
-3.0654219,0.1750348
-3.0653762,0.1750348
-3.0653304,0.1744244
-3.0652846,0.1732037
-3.0652388,0.1725934
-3.065193,0.1713727
-3.0651472,0.1706097
-3.0651014,0.1695416
-3.0650557,0.1680157
-3.0650099,0.1684735
-3.0649641,0.1677106
-3.0649183,0.1677106
-3.0648725,0.1655743
-3.0648267,0.1651166
-3.064781,0.164201
-3.0647352,0.1635907
-3.0646894,0.1620648
-3.0646436,0.1609967
-3.0645978,0.1603864
-3.064552,0.1591656
-3.0645063,0.1576398
-3.0644605,0.1574872
-3.0644147,0.1564191
-3.0643689,0.1556561
-3.0643231,0.1541302
-3.0642773,0.1541302
-3.0642316,0.1526044
-3.0641858,0.1522992
-3.06414,0.1518414
-3.0640942,0.1503156
-3.0640484,0.1492474
-3.0640026,0.1486371
-3.0639568,0.1477216
-3.0639111,0.1465009
-3.0638653,0.1460431
-3.0638195,0.1455853
-3.0637737,0.1445172
-3.0637279,0.1434491
-3.0636821,0.1429913
-3.0636364,0.1426862
-3.0635906,0.1425336
-3.0635448,0.1414655
-3.063499,0.1403973
-3.0634532,0.139787
-3.0634074,0.1391766
-3.0633617,0.1378033
-3.0633159,0.1367352
-3.0632701,0.1356671
-3.0632243,0.1358197
-3.0631785,0.1362775
-3.0631327,0.1347516
-3.063087,0.1338361
-3.0630412,0.1332257
-3.0629954,0.1333783
-3.0629496,0.1323102
-3.0629038,0.1315472
-3.062858,0.1318524
-3.0628122,0.1312421
-3.0627665,0.1306317
-3.0627207,0.129411
-3.0626749,0.1298688
-3.0626291,0.1295636
-3.0625833,0.1277325
-3.0625375,0.1274274
-3.0624918,0.1271222
-3.062446,0.1269696
-3.0624002,0.1263593
-3.0623544,0.1254437
-3.0623086,0.1245282
-3.0622628,0.1233075
-3.0622171,0.122392
-3.0621713,0.122392
-3.0621255,0.1214764
-3.0620797,0.1220868
-3.0620339,0.1214764
-3.0619881,0.1196454
-3.0619424,0.1202557
-3.0618966,0.1194928
-3.0618508,0.1184247
-3.061805,0.1182721
-3.0617592,0.1179669
-3.0617134,0.117204
-3.0616676,0.1155255
-3.0616219,0.1153729
-3.0615761,0.1156781
-3.0615303,0.1156781
-3.0614845,0.1150677
-3.0614387,0.11461
-3.0613929,0.1150677
-3.0613472,0.1144574
-3.0613014,0.1139996
-3.0612556,0.1130841
-3.0612098,0.1126263
-3.061164,0.112016
-3.0611182,0.1111005
-3.0610725,0.1098798
-3.0610267,0.1106427
-3.0609809,0.1101849
-3.0609351,0.1095746
-3.0608893,0.1106427
-3.0608435,0.1098798
-3.0607978,0.109422
-3.060752,0.1089642
-3.0607062,0.1078961
-3.0606604,0.1080487
-3.0606146,0.1071332
-3.0605688,0.1071332
-3.060523,0.1069806
-3.0604773,0.1071332
-3.0604315,0.1062177
-3.0603857,0.1063702
-3.0603399,0.1054547
-3.0602941,0.1056073
-3.0602483,0.1051495
-3.0602026,0.1043866
-3.0601568,0.1043866
-3.060111,0.1036237
-3.0600652,0.1037762
-3.0600194,0.1017926
-3.0599736,0.1014874
-3.0599279,0.1020978
-3.0598821,0.1019452
-3.0598363,0.1014874
-3.0597905,0.1007245
-3.0597447,0.1013348
-3.0596989,0.1014874
-3.0596532,0.1005719
-3.0596074,0.1002667
-3.0595616,0.09996155
-3.0595158,0.0993512
-3.05947,0.09858826
-3.0594242,0.09858826
-3.0593784,0.0993512
-3.0593327,0.09904602
-3.0592869,0.09889343
-3.0592411,0.09858826
-3.0591953,0.09736755
-3.0591495,0.09690979
-3.0591037,0.09797791
-3.059058,0.09797791
-3.0590122,0.09828308
-3.0589664,0.09736755
-3.0589206,0.09752014
-3.0588748,0.09752014
-3.058829,0.09645203
-3.0587833,0.09568909
-3.0587375,0.09523132
-3.0586917,0.09462097
-3.0586459,0.09324768
-3.0586001,0.09446838
-3.0585543,0.09462097
-3.0585086,0.09340027
-3.0584628,0.09370544
-3.058417,0.09340027
-3.0583712,0.09263733
-3.0583254,0.09340027
-3.0582796,0.09340027
-3.0582338,0.09248474
-3.0581881,0.09248474
-3.0581423,0.09141663
-3.0580965,0.09126404
-3.0580507,0.09141663
-3.0580049,0.09141663
-3.0579591,0.09034851
-3.0579134,0.09004333
-3.0578676,0.09004333
-3.0578218,0.09019592
-3.057776,0.08958557
-3.0577302,0.08836487
-3.0576844,0.08744934
-3.0576387,0.08744934
-3.0575929,0.08699158
-3.0575471,0.08744934
-3.0575013,0.08714417
-3.0574555,0.0866864
-3.0574097,0.08683899
-3.057364,0.08516052
-3.0573182,0.08516052
-3.0572724,0.08470276
-3.0572266,0.08439758
-3.0571808,0.08332947
-3.057135,0.08348206
-3.0570892,0.08271912
-3.0570435,0.08241394
-3.0569977,0.081651
-3.0569519,0.08134583
-3.0569061,0.08104065
-3.0568603,0.08073547
-3.0568145,0.07997253
-3.0567688,0.07997253
-3.056723,0.07905701
-3.0566772,0.07920959
-3.0566314,0.08012512
-3.0565856,0.07890442
-3.0565398,0.07859924
-3.0564941,0.07814148
-3.0564483,0.07753113
-3.0564025,0.07722595
-3.0563567,0.07737854
-3.0563109,0.07646301
-3.0562651,0.07692078
-3.0562194,0.07631042
-3.0561736,0.07570007
-3.0561278,0.07478455
-3.056082,0.07524231
-3.0560362,0.07493713
-3.0559904,0.07402161
-3.0559446,0.07417419
-3.0558989,0.07371643
-3.0558531,0.07310608
-3.0558073,0.07264832
-3.0557615,0.07234314
-3.0557157,0.0715802
-3.0556699,0.07127502
-3.0556242,0.07127502
-3.0555784,0.07066467
-3.0555326,0.06974915
-3.0554868,0.06868103
-3.055441,0.06868103
-3.0553952,0.06868103
-3.0553495,0.06791809
-3.0553037,0.0677655
-3.0552579,0.06684998
-3.0552121,0.06669739
-3.0551663,0.06578186
-3.0551205,0.06501892
-3.0550748,0.06471375
-3.055029,0.06517151
-3.0549832,0.06517151
-3.0549374,0.06471375
-3.0548916,0.06471375
-3.0548458,0.06562927
-3.0548,0.06456116
-3.0547543,0.06349304
-3.0547085,0.06318787
-3.0546627,0.06257751
-3.0546169,0.06242493
-3.0545711,0.06135681
-3.0545253,0.06074646
-3.0544796,0.06074646
-3.0544338,0.05937317
-3.054388,0.05891541
-3.0543422,0.05845764
-3.0542964,0.05861023
-3.0542506,0.05754211
-3.0542049,0.05723694
-3.0541591,0.05693176
-3.0541133,0.05601624
-3.0540675,0.05540588
-3.0540217,0.05571106
-3.0539759,0.05540588
-3.0539302,0.0552533
-3.0538844,0.05540588
-3.0538386,0.05555847
-3.0537928,0.05494812
-3.053747,0.05464294
-3.0537012,0.05464294
-3.0536554,0.05433777
-3.0536097,0.05357483
-3.0535639,0.05311707
-3.0535181,0.05296448
-3.0534723,0.05296448
-3.0534265,0.0526593
-3.0533807,0.0514386
-3.053335,0.05128601
-3.0532892,0.05113342
-3.0532434,0.05113342
-3.0531976,0.05128601
-3.0531518,0.05098083
-3.053106,0.05006531
-3.0530603,0.05113342
-3.0530145,0.05159119
-3.0529687,0.0514386
-3.0529229,0.05128601
-3.0528771,0.05037048
-3.0528313,0.04960754
-3.0527856,0.04914978
-3.0527398,0.04899719
-3.052694,0.04945496
-3.0526482,0.04808167
-3.0526024,0.04792908
-3.0525566,0.04777649
-3.0525108,0.04792908
-3.0524651,0.04731873
-3.0524193,0.04686096
-3.0523735,0.04731873
-3.0523277,0.04670837
-3.0522819,0.04625061
-3.0522361,0.04579285
-3.0521904,0.04625061
-3.0521446,0.04579285
-3.0520988,0.04609802
-3.052053,0.04625061
-3.0520072,0.04655579
-3.0519614,0.04670837
-3.0519157,0.0464032
-3.0518699,0.04625061
-3.0518241,0.04579285
-3.0517783,0.0451825
-3.0517325,0.04533508
-3.0516867,0.04670837
-3.051641,0.0464032
-3.0515952,0.0464032
-3.0515494,0.04686096
-3.0515036,0.04625061
-3.0514578,0.04625061
-3.051412,0.04670837
-3.0513662,0.04625061
-3.0513205,0.04670837
-3.0512747,0.04686096
-3.0512289,0.04686096
-3.0511831,0.04625061
-3.0511373,0.04625061
-3.0510915,0.04579285
-3.0510458,0.04548767
-3.051,0.04548767
-3.0509542,0.04609802
-3.0509084,0.04609802
-3.0508626,0.04548767
-3.0508168,0.04625061
-3.0507711,0.04686096
-3.0507253,0.0464032
-3.0506795,0.04564026
-3.0506337,0.04594543
-3.0505879,0.04564026
-3.0505421,0.04548767
-3.0504964,0.04609802
-3.0504506,0.04625061
-3.0504048,0.0464032
-3.050359,0.0464032
-3.0503132,0.04655579
-3.0502674,0.04701355
-3.0502216,0.04747131
-3.0501759,0.04792908
-3.0501301,0.04792908
-3.0500843,0.04731873
-3.0500385,0.04747131
-3.0499927,0.04823425
-3.0499469,0.04792908
-3.0499012,0.0476239
-3.0498554,0.04731873
-3.0498096,0.04731873
-3.0497638,0.0488446
-3.049718,0.04914978
-3.0496722,0.04930237
-3.0496265,0.04945496
-3.0495807,0.04930237
-3.0495349,0.04899719
-3.0494891,0.04991272
-3.0494433,0.05006531
-3.0493975,0.0502179
-3.0493518,0.04976013
