in s,C1 in V
-3.0780125,1.380343
-3.0779668,1.3827844
-3.077921,1.3840051
-3.0778752,1.3840051
-3.0778294,1.3882776
-3.0777836,1.3846155
-3.0777378,1.3858362
-3.077692,1.3864465
-3.0776463,1.3843103
-3.0776005,1.3794275
-3.0775547,1.3843103
-3.0775089,1.3815637
-3.0774631,1.3824792
-3.0774173,1.3779016
-3.0773716,1.3788171
-3.0773258,1.375155
-3.07728,1.3684412
-3.0772342,1.3678308
-3.0771884,1.3608118
-3.0771426,1.3553186
-3.0770969,1.3464685
-3.0770511,1.3373132
-3.0770053,1.3312097
-3.0769595,1.3202234
-3.0769137,1.3150354
-3.0768679,1.3031335
-3.0768222,1.2958093
-3.0767764,1.2887903
-3.0767306,1.2750574
-3.0766848,1.2588831
-3.076639,1.2472864
-3.0765932,1.2359949
-3.0765474,1.2207361
-3.0765017,1.2076135
-3.0764559,1.1886926
-3.0764101,1.1716028
-3.0763643,1.1597009
-3.0763185,1.1404749
-3.0762727,1.1261316
-3.076227,1.1114832
-3.0761812,1.1011072
-3.0761354,1.0867639
-3.0760896,1.0739465
-3.0760438,1.0669275
-3.075998,1.0516687
-3.0759523,1.0422083
-3.0759065,1.0333582
-3.0758607,1.0187097
-3.0758149,1.0119958
-3.0757691,1.0010095
-3.0757233,0.98819214
-3.0756776,0.97842651
-3.0756318,0.96377808
-3.075586,0.95431763
-3.0755402,0.94058472
-3.0754944,0.93051392
-3.0754486,0.91891724
-3.0754028,0.90640503
-3.0753571,0.89877563
-3.0753113,0.89328247
-3.0752655,0.87954956
-3.0752197,0.86734253
-3.0751739,0.85360962
-3.0751281,0.83865601
-3.0750824,0.8261438
-3.0750366,0.81180054
-3.0749908,0.7983728
-3.074945,0.78036743
-3.0748992,0.77060181
-3.0748534,0.75503784
-3.0748077,0.73855835
-3.0747619,0.72574097
-3.0747161,0.71109253
-3.0746703,0.69644409
-3.0746245,0.67782837
-3.0745787,0.66409546
-3.074533,0.65341431
-3.0744872,0.63418823
-3.0744414,0.61831909
-3.0743956,0.60550171
-3.0743498,0.5929895
-3.074304,0.57925659
-3.0742582,0.56613403
-3.0742125,0.55118042
-3.0741667,0.53836304
-3.0741209,0.52859741
-3.0740751,0.52005249
-3.0740293,0.50906616
-3.0739835,0.49777466
-3.0739378,0.48800903
-3.073892,0.48037964
-3.0738462,0.46939331
-3.0738004,0.45718628
-3.0737546,0.4468103
-3.0737088,0.43460327
-3.0736631,0.42422729
-3.0736173,0.42117554
-3.0735715,0.40591675
-3.0735257,0.40194946
-3.0734799,0.39248901
-3.0734341,0.37997681
-3.0733884,0.37051636
-3.0733426,0.35891968
-3.0732968,0.35495239
-3.073251,0.33481079
-3.0732052,0.3284021
-3.0731594,0.32107788
-3.0731136,0.30429321
-3.0730679,0.29391724
-3.0730221,0.2804895
-3.0729763,0.27011353
-3.0729305,0.25729614
-3.0728847,0.24753052
-3.0728389,0.23623901
-3.0727932,0.2212854
-3.0727474,0.20846802
-3.0727016,0.1935144
-3.0726558,0.17489868
-3.07261,0.16116577
-3.0725642,0.14468628
-3.0725185,0.12759644
-3.0724727,0.11477905
-3.0724269,0.097078857
-3.0723811,0.083040771
-3.0723353,0.063814697
-3.0722895,0.046724854
-3.0722438,0.027498779
-3.072198,0.01010376
-3.0721522,-0.005460205
-3.0721064,-0.022550049
-3.0720606,-0.038724365
-3.0720148,-0.055509033
-3.071969,-0.072293701
-3.0719233,-0.082364502
-3.0718775,-0.10159058
-3.0718317,-0.11074585
-3.0717859,-0.12600464
-3.0717401,-0.14339966
-3.0716943,-0.15987915
-3.0716486,-0.17574829
-3.0716028,-0.19497437
-3.071557,-0.21389526
-3.0715112,-0.23403687
-3.0714654,-0.25112671
-3.0714196,-0.27035278
-3.0713739,-0.28317017
-3.0713281,-0.29873413
-3.0712823,-0.31399292
-3.0712365,-0.32864136
-3.0711907,-0.34634155
-3.0711449,-0.35946411
-3.0710992,-0.37136597
-3.0710534,-0.38143677
-3.0710076,-0.40096802
-3.0709618,-0.41286987
-3.070916,-0.43179077
-3.0708702,-0.4415564
-3.0708244,-0.45681519
-3.0707787,-0.47421021
-3.0707329,-0.48794312
-3.0706871,-0.50442261
-3.0706413,-0.52120728
-3.0705955,-0.53524536
-3.0705497,-0.55264038
-3.070504,-0.56667847
-3.0704582,-0.58254761
-3.0704124,-0.59475464
-3.0703666,-0.6090979
-3.0703208,-0.62283081
-3.070275,-0.63900513
-3.0702293,-0.65365356
-3.0701835,-0.66677612
-3.0701377,-0.67532104
-3.0700919,-0.68478149
-3.0700461,-0.69790405
-3.0700003,-0.70980591
-3.0699546,-0.71835083
-3.0699088,-0.72964233
-3.069863,-0.74154419
-3.0698172,-0.75039429
-3.0697714,-0.75588745
-3.0697256,-0.76778931
-3.0696798,-0.77084106
-3.0696341,-0.7830481
-3.0695883,-0.79494995
-3.0695425,-0.79830688
-3.0694967,-0.80593628
-3.0694509,-0.8157019
-3.0694051,-0.8233313
-3.0693594,-0.83096069
-3.0693136,-0.84194702
-3.0692678,-0.84927124
-3.069222,-0.85812134
-3.0691762,-0.86453003
-3.0691304,-0.87063354
-3.0690847,-0.88070435
-3.0690389,-0.88436646
-3.0689931,-0.88741821
-3.0689473,-0.89443726
-3.0689015,-0.90206665
-3.0688557,-0.90755981
-3.06881,-0.91518921
-3.0687642,-0.91854614
-3.0687184,-0.92251343
-3.0686726,-0.92831177
-3.0686268,-0.92770142
-3.068581,-0.92709106
-3.0685352,-0.93746704
-3.0684895,-0.94387573
-3.0684437,-0.94418091
-3.0683979,-0.94296021
-3.0683521,-0.94967407
-3.0683063,-0.95425171
-3.0682605,-0.9594397
-3.0682148,-0.96249146
-3.068169,-0.96462769
-3.0681232,-0.96615356
-3.0680774,-0.9719519
-3.0680316,-0.97591919
-3.0679858,-0.9783606
-3.0679401,-0.98171753
-3.0678943,-0.98263306
-3.0678485,-0.98507446
-3.0678027,-0.99178833
-3.0677569,-0.99880737
-3.0677111,-1.0030798
-3.0676654,-1.0122351
-3.0676196,-1.0198645
-3.0675738,-1.0277991
-3.067528,-1.0335974
-3.0674822,-1.0448889
-3.0674364,-1.0461096
-3.0673906,-1.0512976
-3.0673449,-1.0549597
-3.0672991,-1.0616736
-3.0672533,-1.0638098
-3.0672075,-1.0689978
-3.0671617,-1.0680823
-3.0671159,-1.076322
-3.0670702,-1.0812048
-3.0670244,-1.0873083
-3.0669786,-1.0873083
-3.0669328,-1.0952429
-3.066887,-1.098905
-3.0668412,-1.1001257
-3.0667955,-1.1001257
-3.0667497,-1.0979895
-3.0667039,-1.097074
-3.0666581,-1.0976843
-3.0666123,-1.093717
-3.0665665,-1.0900549
-3.0665208,-1.0860876
-3.066475,-1.0842566
-3.0664292,-1.0769324
-3.0663834,-1.0787634
-3.0663376,-1.0757117
-3.0662918,-1.0741858
-3.066246,-1.0689978
-3.0662003,-1.0729651
-3.0661545,-1.0702185
-3.0661087,-1.0714392
-3.0660629,-1.0726599
-3.0660171,-1.071134
-3.0659713,-1.0726599
-3.0659256,-1.0699133
-3.0658798,-1.074491
-3.065834,-1.0735754
-3.0657882,-1.0705237
-3.0657424,-1.0702185
-3.0656966,-1.0702185
-3.0656509,-1.069303
-3.0656051,-1.0705237
-3.0655593,-1.0683875
-3.0655135,-1.0668616
-3.0654677,-1.0680823
-3.0654219,-1.0671667
-3.0653762,-1.0647253
-3.0653304,-1.0635046
-3.0652846,-1.0564856
-3.0652388,-1.0522131
-3.065193,-1.0500769
-3.0651472,-1.048551
-3.0651014,-1.0473303
-3.0650557,-1.0445837
-3.0650099,-1.0390906
-3.0649641,-1.0369543
-3.0649183,-1.0308508
-3.0648725,-1.0250525
-3.0648267,-1.0186438
-3.064781,-1.0073523
-3.0647352,-1.0018591
-3.0646894,-0.99545044
-3.0646436,-0.980802
-3.0645978,-0.97134155
-3.064552,-0.95821899
-3.0645063,-0.9493689
-3.0644605,-0.93624634
-3.0644147,-0.92861694
-3.0643689,-0.91000122
-3.0643231,-0.9014563
-3.0642773,-0.88863892
-3.0642316,-0.87032837
-3.0641858,-0.86086792
-3.06414,-0.84866089
-3.0640942,-0.83767456
-3.0640484,-0.82180542
-3.0640026,-0.81081909
-3.0639568,-0.80105347
-3.0639111,-0.7931189
-3.0638653,-0.78152222
-3.0638195,-0.77175659
-3.0637737,-0.76382202
-3.0637279,-0.75314087
-3.0636821,-0.74245972
-3.0636364,-0.73360962
-3.0635906,-0.72445435
-3.0635448,-0.71560425
-3.063499,-0.70828003
-3.0634532,-0.69790405
-3.0634074,-0.68630737
-3.0633617,-0.67776245
-3.0633159,-0.67135376
-3.0632701,-0.66463989
-3.0632243,-0.64968628
-3.0631785,-0.64175171
-3.0631327,-0.63137573
-3.063087,-0.62222046
-3.0630412,-0.61123413
-3.0629954,-0.60146851
-3.0629496,-0.59048218
-3.0629038,-0.57949585
-3.062858,-0.56789917
-3.0628122,-0.55050415
-3.0627665,-0.54073853
-3.0627207,-0.52670044
-3.0626749,-0.51785034
-3.0626291,-0.50716919
-3.0625833,-0.49618286
-3.0625375,-0.4806189
-3.0624918,-0.47115845
-3.062446,-0.45803589
-3.0624002,-0.44735474
-3.0623544,-0.43514771
-3.0623086,-0.42080444
-3.0622628,-0.40524048
-3.0622171,-0.39394897
-3.0621713,-0.38631958
-3.0621255,-0.37655396
-3.0620797,-0.3658728
-3.0620339,-0.35213989
-3.0619881,-0.34023804
-3.0619424,-0.32803101
-3.0618966,-0.31490845
-3.0618508,-0.30697388
-3.061805,-0.29202026
-3.0617592,-0.28011841
-3.0617134,-0.27309937
-3.0616676,-0.26119751
-3.0616219,-0.25387329
-3.0615761,-0.24502319
-3.0615303,-0.24166626
-3.0614845,-0.23281616
-3.0614387,-0.21999878
-3.0613929,-0.20809692
-3.0613472,-0.19650024
-3.0613014,-0.18978638
-3.0612556,-0.18856567
-3.0612098,-0.17300171
-3.061164,-0.16415161
-3.0611182,-0.1580481
-3.0610725,-0.14767212
-3.0610267,-0.13790649
-3.0609809,-0.13515991
-3.0609351,-0.12417358
-3.0608893,-0.11654419
-3.0608435,-0.10738892
-3.0607978,-0.096097412
-3.060752,-0.084195557
-3.0607062,-0.076260986
-3.0606604,-0.069547119
-3.0606146,-0.0622229
-3.0605688,-0.049405518
-3.060523,-0.039945068
-3.0604773,-0.030484619
-3.0604315,-0.019193115
-3.0603857,-0.007596436
-3.0603399,0.001558838
-3.0602941,0.01223999
-3.0602483,0.025362549
-3.0602026,0.039095459
-3.0601568,0.04916626
-3.060111,0.058626709
-3.0600652,0.07083374
-3.0600194,0.086092529
-3.0599736,0.10074097
-3.0599279,0.11050659
-3.0598821,0.12942749
-3.0598363,0.14651733
-3.0597905,0.15994507
-3.0597447,0.17581421
-3.0596989,0.19687134
-3.0596532,0.20877319
-3.0596074,0.22220093
-3.0595616,0.23593384
-3.0595158,0.24814087
-3.05947,0.26339966
-3.0594242,0.27896362
-3.0593784,0.29239136
-3.0593327,0.30581909
-3.0592869,0.31527954
-3.0592411,0.33023315
-3.0591953,0.34518677
-3.0591495,0.36075073
-3.0591037,0.37173706
-3.059058,0.38394409
-3.0590122,0.3964563
-3.0589664,0.41049438
-3.0589206,0.42178589
-3.0588748,0.4367395
-3.058829,0.44772583
-3.0587833,0.45993286
-3.0587375,0.475802
-3.0586917,0.49106079
-3.0586459,0.50784546
-3.0586001,0.51974731
-3.0585543,0.53409058
-3.0585086,0.553927
-3.0584628,0.56430298
-3.058417,0.58047729
-3.0583712,0.59085327
-3.0583254,0.60336548
-3.0582796,0.61404663
-3.0582338,0.62411743
-3.0581881,0.63876587
-3.0581423,0.65555054
-3.0580965,0.66684204
-3.0580507,0.67965942
-3.0580049,0.69034058
-3.0579591,0.70651489
-3.0579134,0.71963745
-3.0578676,0.73489624
-3.0578218,0.74649292
-3.057776,0.75595337
-3.0577302,0.7669397
-3.0576844,0.78036743
-3.0576387,0.79074341
-3.0575929,0.80478149
-3.0575471,0.81454712
-3.0575013,0.82370239
-3.0574555,0.83377319
-3.0574097,0.84384399
-3.057364,0.85116821
-3.0573182,0.85910278
-3.0572724,0.87039429
-3.0572266,0.87832886
-3.0571808,0.88351685
-3.057135,0.89053589
-3.0570892,0.8954187
-3.0570435,0.90274292
-3.0569977,0.91372925
-3.0569519,0.91708618
-3.0569061,0.92654663
-3.0568603,0.93844849
-3.0568145,0.94485718
-3.0567688,0.95370728
-3.056723,0.96072632
-3.0566772,0.96713501
-3.0566314,0.98025757
-3.0565856,0.98605591
-3.0565398,0.99948364
-3.0564941,0.99887329
-3.0564483,1.0016199
-3.0564025,1.01047
-3.0563567,1.0159631
-3.0563109,1.017489
-3.0562651,1.0266443
-3.0562194,1.0281702
-3.0561736,1.033053
-3.0561278,1.0351892
-3.056082,1.0428186
-3.0560362,1.0455652
-3.0559904,1.0437341
-3.0559446,1.0501428
-3.0558989,1.0519739
-3.0558531,1.0562463
-3.0558073,1.0644861
-3.0557615,1.0687585
-3.0557157,1.0693689
-3.0556699,1.0751672
-3.0556242,1.0763879
-3.0555784,1.0806604
-3.0555326,1.0794397
-3.0554868,1.0861536
-3.055441,1.0873743
-3.0553952,1.090426
-3.0553495,1.0916467
-3.0553037,1.095614
-3.0552579,1.0943933
-3.0552121,1.0986658
-3.0551663,1.0934778
-3.0551205,1.0989709
-3.0550748,1.1029382
-3.055029,1.1035486
-3.0549832,1.1099573
-3.0549374,1.1157556
-3.0548916,1.1114832
-3.0548458,1.121554
-3.0548,1.1279626
-3.0547543,1.1322351
-3.0547085,1.1398645
-3.0546627,1.1435266
-3.0546169,1.1477991
-3.0545711,1.1502405
-3.0545253,1.1548181
-3.0544796,1.163363
-3.0544338,1.168551
-3.054388,1.1709924
-3.0543422,1.171908
-3.0542964,1.171908
-3.0542506,1.1746545
-3.0542049,1.1755701
-3.0541591,1.1770959
-3.0541133,1.1804529
-3.0540675,1.1816736
-3.0540217,1.1819788
-3.0539759,1.1831995
-3.0539302,1.1795374
-3.0538844,1.1871667
-3.0538386,1.1880823
-3.0537928,1.1905237
-3.053747,1.1902185
-3.0537012,1.1853357
-3.0536554,1.1862512
-3.0536097,1.1886926
-3.0535639,1.1883875
-3.0535181,1.1825891
-3.0534723,1.184115
-3.0534265,1.178927
-3.0533807,1.1749597
-3.053335,1.1740442
-3.0532892,1.1728235
-3.0532434,1.1694666
-3.0531976,1.1654993
-3.0531518,1.1618372
-3.053106,1.1569543
-3.0530603,1.1557336
-3.0530145,1.1539026
-3.0529687,1.1474939
-3.0529229,1.144137
-3.0528771,1.1416956
-3.0528313,1.138949
-3.0527856,1.1352869
-3.0527398,1.1380334
-3.052694,1.1352869
-3.0526482,1.135592
-3.0526024,1.1383386
-3.0525566,1.1392542
-3.0525108,1.138949
-3.0524651,1.1401697
-3.0524193,1.1383386
-3.0523735,1.1371179
-3.0523277,1.14078
-3.0522819,1.1368127
-3.0522361,1.1374231
-3.0521904,1.1352869
-3.0521446,1.133761
-3.0520988,1.128573
-3.052053,1.1267419
-3.0520072,1.1230798
-3.0519614,1.118197
-3.0519157,1.1139246
-3.0518699,1.107821
-3.0518241,1.1066003
-3.0517783,1.0974451
-3.0517325,1.0867639
-3.0516867,1.0824915
-3.051641,1.0751672
-3.0515952,1.0666223
-3.0515494,1.0602136
-3.0515036,1.0550256
-3.0514578,1.0425134
-3.051412,1.0321375
-3.0513662,1.0248132
-3.0513205,1.0095544
-3.0512747,0.99826294
-3.0512289,0.98758179
-3.0511831,0.97903687
-3.0511373,0.97049194
-3.0510915,0.9534021
-3.0510458,0.94729858
-3.051,0.93692261
-3.0509542,0.92685181
-3.0509084,0.92013794
-3.0508626,0.91342407
-3.0508168,0.90579468
