in s,C1 in V
-3.0780125,-0.6709125
-3.0779668,-0.6704547
-3.077921,-0.6690814
-3.0778752,-0.6681659
-3.0778294,-0.6678607
-3.0777836,-0.6670978
-3.0777378,-0.6652667
-3.077692,-0.6637408
-3.0776463,-0.6620624
-3.0776005,-0.6603839
-3.0775547,-0.6590106
-3.0775089,-0.6564166
-3.0774631,-0.654433
-3.0774173,-0.6527545
-3.0773716,-0.6504657
-3.0773258,-0.6490924
-3.07728,-0.6474139
-3.0772342,-0.6454303
-3.0771884,-0.6429889
-3.0771426,-0.6407001
-3.0770969,-0.6379535
-3.0770511,-0.6358173
-3.0770053,-0.6335284
-3.0769595,-0.6321552
-3.0769137,-0.6298663
-3.0768679,-0.6268146
-3.0768222,-0.6243732
-3.0767764,-0.621474
-3.0767306,-0.6190326
-3.0766848,-0.6168964
-3.076639,-0.6146075
-3.0765932,-0.6126239
-3.0765474,-0.6101825
-3.0765017,-0.6075885
-3.0764559,-0.60591
-3.0764101,-0.6037738
-3.0763643,-0.6022479
-3.0763185,-0.5990436
-3.0762727,-0.5969073
-3.076227,-0.5944659
-3.0761812,-0.5924823
-3.0761354,-0.5904987
-3.0760896,-0.5882098
-3.0760438,-0.586684
-3.075998,-0.5854633
-3.0759523,-0.5836322
-3.0759065,-0.5799701
-3.0758607,-0.5779865
-3.0758149,-0.5756976
-3.0757691,-0.5731036
-3.0757233,-0.5712726
-3.0756776,-0.5694415
-3.0756318,-0.5665424
-3.075586,-0.564101
-3.0755402,-0.5618121
-3.0754944,-0.5593707
-3.0754486,-0.5561664
-3.0754028,-0.553725
-3.0753571,-0.5499103
-3.0753113,-0.5464008
-3.0752655,-0.5438068
-3.0752197,-0.540755
-3.0751739,-0.5370929
-3.0751281,-0.5344989
-3.0750824,-0.5308368
-3.0750366,-0.527785
-3.0749908,-0.5242755
-3.074945,-0.5206134
-3.0748992,-0.5161884
-3.0748534,-0.5125262
-3.0748077,-0.5099323
-3.0747619,-0.5061176
-3.0747161,-0.5018451
-3.0746703,-0.4977252
-3.0746245,-0.4936053
-3.0745787,-0.4907062
-3.074533,-0.4853656
-3.0744872,-0.4812457
-3.0744414,-0.4759052
-3.0743956,-0.4705646
-3.0743498,-0.4662921
-3.074304,-0.4617145
-3.0742582,-0.4560687
-3.0742125,-0.450423
-3.0741667,-0.445235
-3.0741209,-0.4397418
-3.0740751,-0.4350116
-3.0740293,-0.4295184
-3.0739835,-0.4247882
-3.0739378,-0.4189899
-3.073892,-0.4144122
-3.0738462,-0.4089191
-3.0738004,-0.4035785
-3.0737546,-0.3985431
